sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_name_2016,nswscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Capital Region,101,54,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,87.48043818,2,0,4.703538895,0,1.298701299,3
Capital Region,101,55,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,66.55328798,3,0,1.166403088,3,1.298701299,3
Capital Region,101,56,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,500,3,0,3.351366358,1,1.298701299,3
Capital Region,101,59,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,57.24381625,3,0,2.833331772,1,1.298701299,3
Capital Region,101,61,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,39.44337812,2,0,1.418062031,3,1.298701299,3
Capital Region,101,62,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,32.25806452,3,0,5.58626565,0,1.298701299,3
Capital Region,101,63,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,83.4179357,3,0,2.852111249,1,1.298701299,3
Capital Region,101,71,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,14.13612565,2,0,3.517283791,0,1.298701299,3
Capital Region,101,72,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,29.69387755,1,0,4.54891329,0,1.298701299,3
Capital Region,101,73,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,45.88744589,1,0,2.452576498,2,1.298701299,3
Capital Region,101,74,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,53.45679012,3,0,6.827084124,0,1.298701299,3
Capital Region,101,81,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,89.8989899,2,0,5.323702597,0,1.298701299,3
Capital Region,101,82,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,42.56756757,0,0,8.599890638,0,1.298701299,3
Capital Region,101,83,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,97.18309859,2,0,7.394282019,0,1.298701299,3
Capital Region,101,84,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,85.67480424,2,0,5.816067226,0,1.298701299,3
Capital Region,101,85,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,501.6216216,0,0,8.407560815,0,1.298701299,3
Capital Region,101,89,9.990292679,1,-15.46715049,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,Capital Region,,1,23.44086022,2,0,3.879472423,0,1.298701299,3
Central Coast,102,11,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,139.9991297,3,0,1.775513209,3,-5.419766206,0
Central Coast,102,12,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,1,1,0,1.775513209,3,-5.419766206,0
Central Coast,102,13,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,125.7944587,2,1,1.934726957,2,-5.419766206,0
Central Coast,102,14,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,45.50128535,3,0,1.38456451,3,-5.419766206,0
Central Coast,102,21,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,266.2337662,3,0,3.044104943,1,-5.419766206,0
Central Coast,102,22,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,128.2010096,2,0,2.395599968,2,-5.419766206,0
Central Coast,102,23,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,38.61335384,2,2,2.744430198,2,-5.419766206,0
Central Coast,102,24,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,41.40798226,1,1,1.983106736,2,-5.419766206,0
Central Coast,102,25,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,153.2659637,2,3,0.842000852,3,-5.419766206,0
Central Coast,102,26,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,70.15429122,2,1,2.189164464,2,-5.419766206,0
Central Coast,102,27,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,53.5389482,2,1,1.637641677,3,-5.419766206,0
Central Coast,102,31,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,68.68217054,3,1,1.48376513,3,-5.419766206,0
Central Coast,102,32,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,63.74100719,3,2,3.672178202,0,-5.419766206,0
Central Coast,102,33,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,95.09493671,2,3,3.087091782,1,-5.419766206,0
Central Coast,102,34,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,64.21052632,3,2,3.928639959,0,-5.419766206,0
Central Coast,102,35,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,38.31775701,3,2,3.215717391,1,-5.419766206,0
Central Coast,102,36,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,34.8219333,2,0,4.462419792,0,-5.419766206,0
Central Coast,102,39,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,220.1716738,2,0,1.495232111,3,-5.419766206,0
Central Coast,102,41,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,178.4194529,3,1,3.48189448,0,-5.419766206,0
Central Coast,102,42,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,67.11349419,3,0,4.393815552,0,-5.419766206,0
Central Coast,102,43,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,-16.6841553,1,0,5.277350171,0,-5.419766206,0
Central Coast,102,44,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,80.11152416,1,0,3.334412454,1,-5.419766206,0
Central Coast,102,45,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,100,2,0,2.763530685,2,-5.419766206,0
Central Coast,102,51,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,121.3716108,3,0,2.535082122,2,-5.419766206,0
Central Coast,102,52,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,121.3716108,3,0,2.826080167,1,-5.419766206,0
Central Coast,102,53,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,121.3716108,3,0,3.294490254,1,-5.419766206,0
Central Coast,102,54,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,28.89963724,2,0,4.703538895,0,-5.419766206,0
Central Coast,102,55,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,87.4435411,3,0,1.166403088,3,-5.419766206,0
Central Coast,102,56,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,500,3,0,3.351366358,1,-5.419766206,0
Central Coast,102,59,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,62.62295082,3,0,2.833331772,1,-5.419766206,0
Central Coast,102,61,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,36.69821241,3,0,1.418062031,3,-5.419766206,0
Central Coast,102,62,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,32.25806452,3,0,5.58626565,0,-5.419766206,0
Central Coast,102,63,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,83.4179357,1,0,2.852111249,1,-5.419766206,0
Central Coast,102,71,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,66.56394453,3,0,3.517283791,0,-5.419766206,0
Central Coast,102,72,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,119.8770492,3,0,4.54891329,0,-5.419766206,0
Central Coast,102,73,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,119.8770492,3,0,2.452576498,2,-5.419766206,0
Central Coast,102,74,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,64.35006435,3,0,6.827084124,0,-5.419766206,0
Central Coast,102,81,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,35.52795031,3,0,5.323702597,0,-5.419766206,0
Central Coast,102,82,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,57.66016713,3,0,8.599890638,0,-5.419766206,0
Central Coast,102,83,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,0,2,0,7.394282019,0,-5.419766206,0
Central Coast,102,84,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,143.3476395,3,0,5.816067226,0,-5.419766206,0
Central Coast,102,85,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,6.95900858,3,0,8.407560815,0,-5.419766206,0
Central Coast,102,89,3.658918284,3,-8.354442774,0,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,Central Coast,,1,18.46361186,3,0,3.879472423,0,-5.419766206,0
New South Wales - Central West,103,11,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,433.2935561,3,0,1.775513209,3,2.366863905,3
New South Wales - Central West,103,12,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,1,0,0,1.775513209,3,2.366863905,3
New South Wales - Central West,103,13,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,161.1739365,3,1,1.934726957,2,2.366863905,3
New South Wales - Central West,103,14,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,45.50128535,1,0,1.38456451,3,2.366863905,3
New South Wales - Central West,103,21,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,299.4708995,3,0,3.044104943,1,2.366863905,3
New South Wales - Central West,103,22,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,165.1234568,3,0,2.395599968,2,2.366863905,3
New South Wales - Central West,103,23,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,36.16843279,2,2,2.744430198,2,2.366863905,3
New South Wales - Central West,103,24,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,123.5491071,3,1,1.983106736,2,2.366863905,3
New South Wales - Central West,103,25,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,229.5609756,3,3,0.842000852,3,2.366863905,3
New South Wales - Central West,103,26,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,107.8144078,3,1,2.189164464,2,2.366863905,3
New South Wales - Central West,103,27,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,118.940754,3,1,1.637641677,3,2.366863905,3
New South Wales - Central West,103,31,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,100,3,1,1.48376513,3,2.366863905,3
New South Wales - Central West,103,32,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,63.74100719,2,2,3.672178202,0,2.366863905,3
New South Wales - Central West,103,33,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,95.09493671,1,3,3.087091782,1,2.366863905,3
New South Wales - Central West,103,34,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,64.21052632,2,2,3.928639959,0,2.366863905,3
New South Wales - Central West,103,35,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,30.92783505,1,2,3.215717391,1,2.366863905,3
New South Wales - Central West,103,36,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,34.8219333,0,0,4.462419792,0,2.366863905,3
New South Wales - Central West,103,39,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,199.1525424,3,0,1.495232111,3,2.366863905,3
New South Wales - Central West,103,41,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,178.4194529,3,1,3.48189448,0,2.366863905,3
New South Wales - Central West,103,42,9.990292679,1,-15.74385604,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,New South Wales - Central West,,1,67.11349419,0,0,4.393815552,0,2.366863905,3
