SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Perth - Inner,45,503,21.78208547,0,0,0,867.5,620,0,0,107200,3,-13.0620985,0,-13.57142857,-0.408830744,15.02642839,2,2,1,0.846934756,3,33361,33843,1.444800815,2,-1.294498382,1
Perth - North East,45,504,21.78208547,0,22.02802148,3,382,360,2,2,82300,2,-4.617834395,2,5.405405405,9.148264984,18.41421144,3,3,2,3.501256284,1,17518,17761,1.387144651,2,-1.294498382,1
Perth - North West,45,505,19.73806235,1,-20.53676102,1,425,350,2,2,89600,2,-9.497816594,0,1.657458564,6.302521008,19.41852118,3,2,2,4.631123129,0,39247,40407,2.955639922,3,-1.294498382,1
Perth - South East,45,506,21.78208547,0,-1.697762756,2,557,400,1,1,83000,2,-7.411067194,1,-4.824561404,19.86111111,25.03767492,2,3,3,4.065074064,1,33455,34409,2.85159169,3,-1.294498382,1
Perth - South West,45,507,23.8261086,0,-12.5361184,1,385,350,2,2,87200,2,-7.476635514,1,-30.15873016,-3.910614525,18.90507012,0,1,2,3.459243871,1,26899,27561,2.461058032,3,-1.294498382,1
Western Australia - Outback,45,508,21.78208547,0,-13.96803406,1,327.5,380,2,2,95100,3,-0.521920668,3,-33.33333333,3.488372093,14.89001692,0,2,1,4.932982106,0,14134,14132,-0.014150276,0,-1.294498382,0
Western Australia - Wheat Belt,45,509,21.78208547,0,-12.73745986,1,550,345,1,2,57400,1,1.737149366,3,-26.47058824,-15.50387597,41.62436548,1,0,3,9.840026527,0,15669,15962,1.869934265,2,-18.75647668,0
Hobart,45,601,12.00704339,3,-0.307003616,2,620,485,0,0,61900,2,-5.176767677,1,-16.66666667,8.778625954,13.63930187,1,3,1,3.126151984,2,13923,13940,0.122100122,0,-4.102564103,1
Launceston and North East,45,602,8.292834069,3,-10.03275113,1,227,280,3,3,52200,1,-3.314121037,2,-55.55555556,-1.923076923,4.365079365,0,2,0,3.992827902,1,10723,10559,-1.529422736,0,33.33333333,3
Tasmania - South East,45,603,3.717254866,3,21.39648057,2,265,300,3,3,48000,1,-4.330708661,2,-75,-55.88235294,7.692307692,0,0,0,5.632842461,0,2880,2875,-0.173611111,0,33.33333333,3
Tasmania - West and North West,45,604,14.86460126,2,2.576660127,2,230,260,3,3,50400,1,-3.464322647,2,18.18181818,-26.47058824,9.418282548,3,0,0,3.946112296,1,7277,7261,-0.219870826,0,33.33333333,0
Darwin,45,701,46.5161309,0,-7.322208832,1,590,530,1,0,106200,3,-7.815631263,1,-52.94117647,1.960784314,13.5734072,0,2,0,2.310586081,3,9397,9543,1.553687347,2,-16.64516129,0
Northern Territory - Outback,45,702,46.5161309,0,-28.16209527,0,397,440,2,1,85300,2,4.726368159,3,-70,-30,8.656036446,0,0,0,2.784581063,2,3455,3427,-0.810419682,0,-14.28571429,1
Australian Capital Territory,45,801,22.94432922,0,47.22530196,3,450,423,1,1,111400,3,-5.687203791,1,0.438596491,-14.03314917,19.07331006,3,0,2,2.554305427,2,23232,23616,1.652892562,2,69.95884774,3
Capital Region,51,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,69.95884774,1
Central Coast,51,102,16.26229967,2,-13.41824824,1,570,430,1,1,58400,1,-5.882352941,1,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,121.3716108,3
New South Wales - Central West,51,103,16.26229967,2,39.72168347,3,342.5,320,2,2,56600,1,-0.881397866,3,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,121.3716108,2
Coffs Harbour - Grafton,51,104,16.26229967,2,117.0185963,3,570,393,1,1,48600,1,-3.521491455,2,-26.92307692,-5.882352941,14.22805247,1,1,1,0.884563288,3,9875,9868,-0.070886076,0,52.88544358,2
Far West and Orana,51,105,13.88185311,3,-16.90133228,1,120,240,3,3,52000,1,-0.591581342,3,-35.71428571,36.36363636,13.96648045,0,3,1,5.035872523,0,10827,10977,1.385425326,2,52.88544358,0
Hunter Valley exc Newcastle,51,106,16.26229967,2,30.33737883,3,272.5,320,3,3,67400,2,-2.477632485,2,-43.42105263,-9.701492537,18.44284925,0,1,2,3.44116144,1,16287,16361,0.454350095,1,26.79658952,2
Illawarra,51,107,16.26229967,2,0,0,655,480,0,0,65000,2,-6.37755102,1,-28.98550725,-8.571428571,18.09018568,1,1,2,2.475010413,3,15073,15256,1.214091422,1,41.19891008,2
Mid North Coast,51,108,16.26229967,2,13.62742387,2,445,400,1,1,45100,1,-3.74556022,2,-12.12121212,-18.18181818,16.30811936,2,0,1,4.365944298,1,14834,14914,0.539301604,1,52.88544358,2
Murray,51,109,16.26229967,1,-18.46588047,1,237.65,280,3,3,53600,1,1.797289334,3,16.66666667,-8.602150538,32.62135922,3,1,3,3.591017499,1,11022,11185,1.478860461,2,52.88544358,1
New England and North West,51,110,18.64274623,1,-15.58247956,1,319,335,2,2,52500,1,-1.149425287,2,-31.42857143,-18.05555556,17.81231321,0,0,2,2.182385057,3,18896,19073,0.936706181,1,21.24401914,0
Newcastle and Lake Macquarie,51,111,16.26229967,1,-26.4206746,0,500,400,1,1,66000,2,-10.15384615,0,-35.67839196,-1.814516129,13.14328027,0,2,0,5.247947194,0,22022,22341,1.448551449,2,26.79658952,2
Richmond - Tweed,51,112,16.26229967,1,-19.92087829,1,521.25,460,1,0,50400,1,-2.62808601,2,-20,-10.9540636,15.91346154,1,0,1,3.203093267,2,20141,20182,0.203564868,0,52.88544358,2
Riverina,51,113,16.26229967,1,14.02874258,2,367,320,2,2,57900,1,0.654853621,3,-52,-10.6741573,16,0,0,1,3.553753831,1,14817,14989,1.160828778,1,52.88544358,1
Southern Highlands and Shoalhaven,51,114,16.26229967,1,-15.36672647,1,317,320,2,2,52200,1,-5.209302326,1,-13.33333333,11.35135135,16.80672269,2,3,1,0.925295648,3,10889,10911,0.202038755,0,23.04111715,1
Sydney - Baulkham Hills and Hawkesbury,51,115,16.26229967,1,52.20919757,3,1150,575,0,0,116100,3,-4.75638051,1,1.398601399,-6.85840708,31.02431835,3,1,3,1.302621175,3,23284,24092,3.470194125,3,63.0952381,3
Sydney - Blacktown,51,116,16.26229967,1,0,0,808.5,570,0,0,80800,2,-17.46724891,0,17.30769231,13.42592593,13.94422311,3,3,1,3.329813816,2,16258,16486,1.402386517,2,63.0952381,3
Sydney - City and Inner South,51,117,16.26229967,1,3.614876389,2,1950,1020,0,0,91300,3,-4.247104247,2,-17.24137931,8.318687756,25.00276947,1,2,3,3.061408312,2,66772,68350,2.36326604,3,63.0952381,3
