sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_code,NSWscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Capital Region,101,52,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,1,0,2.826080167,1,5.6,3
Capital Region,101,53,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,1,0,3.294490254,1,5.6,3
Capital Region,101,54,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,2,0,4.703538895,0,5.6,3
Capital Region,101,55,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,66.55328798,3,0,1.166403088,3,5.6,3
Capital Region,101,56,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,500,3,0,3.351366358,1,5.6,3
Capital Region,101,59,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,57.24381625,3,0,2.833331772,1,5.6,3
Capital Region,101,61,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,39.44337812,2,0,1.418062031,3,5.6,3
Capital Region,101,62,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,32.25806452,3,0,5.58626565,0,5.6,3
Capital Region,101,63,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,83.4179357,3,0,2.852111249,1,5.6,3
Capital Region,101,71,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,14.13612565,2,0,3.517283791,0,5.6,3
Capital Region,101,72,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,29.69387755,1,0,4.54891329,0,5.6,3
Capital Region,101,73,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,45.88744589,1,0,2.452576498,2,5.6,3
Capital Region,101,74,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,53.45679012,3,0,6.827084124,0,5.6,3
Capital Region,101,81,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,89.8989899,2,0,5.323702597,0,5.6,3
Capital Region,101,82,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,42.56756757,0,0,8.599890638,0,5.6,3
Capital Region,101,83,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,97.18309859,2,0,7.394282019,0,5.6,3
Capital Region,101,84,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,85.67480424,2,0,5.816067226,0,5.6,3
Capital Region,101,85,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,501.6216216,0,0,8.407560815,0,5.6,3
Capital Region,101,89,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,23.44086022,2,0,3.879472423,0,5.6,3
Central Coast,102,11,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,139.9991297,3,0,1.775513209,3,2.409638554,2
Central Coast,102,12,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,1,1,0,1.775513209,3,2.409638554,2
Central Coast,102,13,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,125.7944587,2,1,1.934726957,2,2.409638554,2
Central Coast,102,14,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,45.50128535,3,0,1.38456451,3,2.409638554,2
Central Coast,102,21,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,266.2337662,3,0,3.044104943,1,2.409638554,2
Central Coast,102,22,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,128.2010096,2,0,2.395599968,2,2.409638554,2
Central Coast,102,23,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,38.61335384,2,2,2.744430198,2,2.409638554,2
Central Coast,102,24,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,41.40798226,1,1,1.983106736,2,2.409638554,2
Central Coast,102,25,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,153.2659637,2,3,0.842000852,3,2.409638554,2
Central Coast,102,26,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,70.15429122,2,1,2.189164464,2,2.409638554,2
Central Coast,102,27,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,53.5389482,2,1,1.637641677,3,2.409638554,2
Central Coast,102,31,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,68.68217054,3,1,1.48376513,3,2.409638554,2
Central Coast,102,32,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,63.74100719,3,2,3.672178202,0,2.409638554,2
Central Coast,102,33,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,95.09493671,2,3,3.087091782,1,2.409638554,2
Central Coast,102,34,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,64.21052632,3,2,3.928639959,0,2.409638554,2
Central Coast,102,35,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,38.31775701,3,2,3.215717391,1,2.409638554,2
Central Coast,102,36,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,34.8219333,2,0,4.462419792,0,2.409638554,2
Central Coast,102,39,14.78292198,1,2.760125303,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,220.1716738,2,0,1.495232111,3,2.409638554,2
