sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,Nswscore,anzsco,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Capital Region,101,59,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,59,1,57.24381625,3,0,2.833331772,1,-5.681818182,0
Capital Region,101,61,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,61,1,39.44337812,2,0,1.418062031,3,-5.681818182,0
Capital Region,101,62,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,62,1,32.25806452,3,0,5.58626565,0,-5.681818182,0
Capital Region,101,63,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,63,1,83.4179357,3,0,2.852111249,1,-5.681818182,0
Capital Region,101,71,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,71,1,14.13612565,2,0,3.517283791,0,-5.681818182,0
Capital Region,101,72,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,72,1,29.69387755,1,0,4.54891329,0,-5.681818182,0
Capital Region,101,73,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,73,1,45.88744589,1,0,2.452576498,2,-5.681818182,0
Capital Region,101,74,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,74,1,53.45679012,3,0,6.827084124,0,-5.681818182,0
Capital Region,101,81,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,81,1,89.8989899,2,0,5.323702597,0,-5.681818182,0
Capital Region,101,82,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,82,1,42.56756757,0,0,8.599890638,0,-5.681818182,0
Capital Region,101,83,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,83,1,97.18309859,2,0,7.394282019,0,-5.681818182,0
Capital Region,101,84,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,84,1,85.67480424,2,0,5.816067226,0,-5.681818182,0
Capital Region,101,85,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,85,1,501.6216216,0,0,8.407560815,0,-5.681818182,0
Capital Region,101,89,16.86831306,1,0,0,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,,89,1,23.44086022,2,0,3.879472423,0,-5.681818182,0
Central Coast,102,11,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,11,1,139.9991297,3,0,1.775513209,3,5.789473684,2
Central Coast,102,12,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,12,1,1,1,0,1.775513209,3,5.789473684,2
Central Coast,102,13,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,13,1,125.7944587,2,1,1.934726957,2,5.789473684,2
Central Coast,102,14,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,14,1,45.50128535,3,0,1.38456451,3,5.789473684,2
Central Coast,102,21,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,21,1,266.2337662,3,0,3.044104943,1,5.789473684,2
Central Coast,102,22,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,22,1,128.2010096,2,0,2.395599968,2,5.789473684,2
Central Coast,102,23,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,23,1,38.61335384,2,2,2.744430198,2,5.789473684,2
Central Coast,102,24,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,24,1,41.40798226,1,1,1.983106736,2,5.789473684,2
Central Coast,102,25,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,25,1,153.2659637,2,3,0.842000852,3,5.789473684,2
Central Coast,102,26,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,26,1,70.15429122,2,1,2.189164464,2,5.789473684,2
Central Coast,102,27,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,27,1,53.5389482,2,1,1.637641677,3,5.789473684,2
Central Coast,102,31,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,31,1,68.68217054,3,1,1.48376513,3,5.789473684,2
Central Coast,102,32,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,32,1,63.74100719,3,2,3.672178202,0,5.789473684,2
Central Coast,102,33,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,33,1,95.09493671,2,3,3.087091782,1,5.789473684,2
Central Coast,102,34,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,34,1,64.21052632,3,2,3.928639959,0,5.789473684,2
Central Coast,102,35,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,35,1,38.31775701,3,2,3.215717391,1,5.789473684,2
Central Coast,102,36,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,36,1,34.8219333,2,0,4.462419792,0,5.789473684,2
Central Coast,102,39,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,39,1,220.1716738,2,0,1.495232111,3,5.789473684,2
Central Coast,102,41,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,41,1,178.4194529,3,1,3.48189448,0,5.789473684,2
Central Coast,102,42,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,42,1,67.11349419,3,0,4.393815552,0,5.789473684,2
Central Coast,102,43,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,43,1,-16.6841553,1,0,5.277350171,0,5.789473684,2
Central Coast,102,44,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,44,1,80.11152416,1,0,3.334412454,1,5.789473684,2
Central Coast,102,45,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,45,1,100,2,0,2.763530685,2,5.789473684,2
Central Coast,102,51,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,51,1,121.3716108,3,0,2.535082122,2,5.789473684,2
Central Coast,102,52,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,52,1,121.3716108,3,0,2.826080167,1,5.789473684,2
Central Coast,102,53,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,53,1,121.3716108,3,0,3.294490254,1,5.789473684,2
Central Coast,102,54,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,54,1,28.89963724,2,0,4.703538895,0,5.789473684,2
Central Coast,102,55,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,55,1,87.4435411,3,0,1.166403088,3,5.789473684,2
Central Coast,102,56,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,56,1,500,3,0,3.351366358,1,5.789473684,2
Central Coast,102,59,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,59,1,62.62295082,3,0,2.833331772,1,5.789473684,2
Central Coast,102,61,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,61,1,36.69821241,3,0,1.418062031,3,5.789473684,2
Central Coast,102,62,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,62,1,32.25806452,3,0,5.58626565,0,5.789473684,2
Central Coast,102,63,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,63,1,83.4179357,1,0,2.852111249,1,5.789473684,2
Central Coast,102,71,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,71,1,66.56394453,3,0,3.517283791,0,5.789473684,2
Central Coast,102,72,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,72,1,119.8770492,3,0,4.54891329,0,5.789473684,2
Central Coast,102,73,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,73,1,119.8770492,3,0,2.452576498,2,5.789473684,2
Central Coast,102,74,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,74,1,64.35006435,3,0,6.827084124,0,5.789473684,2
Central Coast,102,81,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,81,1,35.52795031,3,0,5.323702597,0,5.789473684,2
Central Coast,102,82,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,82,1,57.66016713,3,0,8.599890638,0,5.789473684,2
Central Coast,102,83,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,83,1,0,2,0,7.394282019,0,5.789473684,2
Central Coast,102,84,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,84,1,143.3476395,3,0,5.816067226,0,5.789473684,2
Central Coast,102,85,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,85,1,6.95900858,3,0,8.407560815,0,5.789473684,2
Central Coast,102,89,19.40434672,0,4.916385716,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,,89,1,18.46361186,3,0,3.879472423,0,5.789473684,2
New South Wales - Central West,103,11,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,11,1,433.2935561,3,0,1.775513209,3,-9.615384615,0
New South Wales - Central West,103,12,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,12,1,1,0,0,1.775513209,3,-9.615384615,0
New South Wales - Central West,103,13,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,13,1,161.1739365,3,1,1.934726957,2,-9.615384615,0
New South Wales - Central West,103,14,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,14,1,45.50128535,1,0,1.38456451,3,-9.615384615,0
New South Wales - Central West,103,21,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,21,1,299.4708995,3,0,3.044104943,1,-9.615384615,0
New South Wales - Central West,103,22,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,22,1,165.1234568,3,0,2.395599968,2,-9.615384615,0
New South Wales - Central West,103,23,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,23,1,36.16843279,2,2,2.744430198,2,-9.615384615,0
New South Wales - Central West,103,24,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,24,1,123.5491071,3,1,1.983106736,2,-9.615384615,0
New South Wales - Central West,103,25,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,25,1,229.5609756,3,3,0.842000852,3,-9.615384615,0
New South Wales - Central West,103,26,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,26,1,107.8144078,3,1,2.189164464,2,-9.615384615,0
New South Wales - Central West,103,27,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,27,1,118.940754,3,1,1.637641677,3,-9.615384615,0
New South Wales - Central West,103,31,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,31,1,100,3,1,1.48376513,3,-9.615384615,0
New South Wales - Central West,103,32,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,32,1,63.74100719,2,2,3.672178202,0,-9.615384615,0
New South Wales - Central West,103,33,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,33,1,95.09493671,1,3,3.087091782,1,-9.615384615,0
New South Wales - Central West,103,34,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,34,1,64.21052632,2,2,3.928639959,0,-9.615384615,0
New South Wales - Central West,103,35,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,35,1,30.92783505,1,2,3.215717391,1,-9.615384615,0
New South Wales - Central West,103,36,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,36,1,34.8219333,0,0,4.462419792,0,-9.615384615,0
New South Wales - Central West,103,39,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,39,1,199.1525424,3,0,1.495232111,3,-9.615384615,0
New South Wales - Central West,103,41,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,41,1,178.4194529,3,1,3.48189448,0,-9.615384615,0
New South Wales - Central West,103,42,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,42,1,67.11349419,0,0,4.393815552,0,-9.615384615,0
New South Wales - Central West,103,43,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,43,1,-16.6841553,1,0,5.277350171,0,-9.615384615,0
New South Wales - Central West,103,44,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,44,1,91.00850547,3,0,3.334412454,1,-9.615384615,0
New South Wales - Central West,103,45,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,45,1,200,3,0,2.763530685,2,-9.615384615,0
New South Wales - Central West,103,51,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,51,1,121.3716108,2,0,2.535082122,2,-9.615384615,0
New South Wales - Central West,103,52,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,52,1,121.3716108,2,0,2.826080167,1,-9.615384615,0
New South Wales - Central West,103,53,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,53,1,121.3716108,2,0,3.294490254,1,-9.615384615,0
New South Wales - Central West,103,54,16.86831306,1,0,0,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,,54,1,28.89963724,2,0,4.703538895,0,-9.615384615,0
